year,summer,winter
1981,11.522338966746801,5.125618749859567
1982,8.669141806975938,5.300611974773664
1983,10.322589135119257,5.676902376399471
1984,10.406995476280443,5.73115808202795
1985,9.022377002044845,5.165547967562704
1986,9.055658465843472,6.057327733504861
1987,9.467394101702252,5.357539030567097
1988,9.375708126812805,4.700551305106219
1989,9.759630049968758,4.83170223226532
1990,9.858600194779667,4.202787641955298
1991,9.070535183162514,5.284640879475924
1992,9.684253532939533,4.995824619952162
1993,10.217818287010369,5.693615887129897
1994,9.801503030824582,4.654264272283517
1995,9.29246153280297,4.978896708442844
1996,9.750508360226142,4.96223459131173
1997,11.064525423208075,5.68405923992994
1998,9.763103687914974,5.084492441674196
1999,8.98696502490665,4.465720191679363
2000,9.70675005262711,5.29034551538054
2001,9.897783773938569,4.605757875287347
2002,9.953004878882007,6.2224764695608075
2003,10.20362159426016,5.328633073869235
2004,10.65168396269828,5.373057030071607
2005,11.437820022549426,5.069364887817205
2006,9.531717017717758,4.471388772509438
2007,9.590948719410145,4.570707447786306
2008,9.034582184566222,4.339095431101318
2009,9.259657741366926,4.889955159411766
2010,9.285217004302208,5.008121398280084
2011,9.356658580484972,4.065537433904779
2012,8.829315007632223,4.750127018637398
2013,9.733637923951157,5.602948079597711
2014,11.380857126880223,6.500038607915673
2015,10.794094611858858,6.09215560736205
2016,11.630132966625933,5.776119134771982
2017,10.193024207279716,5.366683027745895
2018,10.27015694968153,6.3910672365329235
2019,11.465086757398279,7.764004571768395
